unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+5FC3	心	心	心	A1a	一级	★	⿲丶⿺乚丶丶	xīn	心（忄⺗）	4	4544	11059808	1
U+5C3A	尺	尺	尺	A1a	一级		⿸尸㇏	chě / chǐ	尸	4	5134	227487	1
U+5F15	引	引	引	A1a	一级		⿰弓丨	yǐn	弓	4	5152	3578046	1
U+4E11	丑	醜	丑	A1a	一级		⿼ユ十	chǒu	一	4	5211	123511	0
U+5DF4	巴	巴	巴	A1a	一级		⿴巳丨	bā	巳	4	5215	2752600	1
U+5B54	孔	孔	孔	A1a	一级		⿰子乚	kǒng	子	4	5215	410176	1
U+961F	队	隊	队	A1a	一级		⿰阝人	duì	阜（阝）	4	5234	8586235	1
U+529E	办	辦	办	A1a	一级		⿻力八	bàn	力	4	5344	5159710	1
U+4EE5	以	以	以	A1a	一级		⿲𠄌丶人	yǐ	人（亻）	4	5434	23042484	1
U+5141	允	允	允	A1a	一级		⿱厶儿	yǔn	儿	4	5435	305952	1
U+4E88	予	予	予	A1a	一级		⿱龴𠄐	yú / yǔ	亅	4	5452	1073576	1
U+9093	邓	鄧	邓	A1a	一级		⿰又阝	dèng	邑（阝）	4	5452	429246	0
U+529D	劝	勸	劝	A1a	一级		⿰又力	quàn	力	4	5453	213325	1
U+53CC	双	雙	双	A1a	一级		⿰又又	shuāng	又	4	5454	2806867	1
U+4E66	书	書	书	A1a	一级		⿺⿻⿱𠃍𠃌丨丶	shū	丨	4	5524	4771856	1
U+5E7B	幻	幻	幻	A1a	一级		⿰幺𠃌	huàn	幺	4	5545	213055	0
U+7389	玉	玉	玉	A1a	一级	★	⿱一圡	yù	玉（𤣩王）	5	11214	940226	1
U+520A	刊	刊	刊	A1a	一级		⿰干刂	kān	刀（刂）	5	11222	463222	0
U+672A	未	未	未	A1a	一级		⿻一木	wèi	木	5	11234	4508829	1
U+672B	末	末	末	A1a	一级		⿻一木	mò	木	5	11234	843247	1
U+793A	示	示	示	A1a	一级	★	⿱二小	shì	示（礻⺬）	5	11234	8301165	1
U+51FB	击	擊	击	A1a	一级		⿻二山	jī	凵	5	11252	2421447	1
