char	code	code_short	code_more	units	flag
腔	epwa	epw		〖※※※〗	
腕	epqb	epq		〖※※※〗	
鲁	qgjf	qgj		〖※※※〗	横·上下〔一 ⿱〕
猩	qtjg			〖※※※〗	
猬	qtle			〖※※※〗	
猾	qtme	qtm		〖※※※〗	
猴	qtwd	qtw		〖※※※〗	
惫	tlnu	tln		〖※※※〗	捺·上下〔丶 ⿱〕
然	qdyo	qd/qdy		〖※※※〗	
馈	qnkm	qnk		〖※※※〗	
馋	qnqu			〖※※※〗	
装	ufye	ufy		〖※※※〗	
蛮	yoju	yoj		〖※※※〗	捺·上下〔丶 ⿱〕
就	ykiy	yk		〖※※※〗	
敦	ykbt			〖※※※〗	
斌	yfhy			〖※※※〗	
痘	ugku			〖※※※〗	
痢	utjk	utj		〖※※※〗	竖·杂合〔丨 ⿻〕
痪	uqmd	uqm		〖※※※〗	
痛	uceh	uc/uce		〖※※※〗	
童	ujff			〖※※※〗	横·上下〔一 ⿱〕
竣	ucwt			〖※※※〗	
阔	uitd	uit		〖※※※〗	
善	uguk	ugu		〖※※※〗	
翔	ugng			〖※※※〗	横·左右〔一 ⿰〕
羡	uguw	ugu		〖※※※〗	
普	uogj	uo/uog		〖※※※〗	
粪	oawu	oaw		〖※※※〗	捺·上下〔丶 ⿱〕
尊	usgf	usg		〖※※※〗	
奠	usgd			〖※※※〗	
道	uthp	ut		〖※※※〗	
遂	uepi	uep		〖※※※〗	捺·杂合〔丶 ⿻〕
曾	uljf			〖※※※〗	横·上下〔一 ⿱〕
焰	oqeg	oqe		〖※※※〗	横·左右〔一 ⿰〕
港	iawn			〖※※※〗	
滞	igkh	igk		〖※※※〗	
湖	ideg	ide		〖※※※〗	横·左右〔一 ⿰〕
湘	ishg			〖※※※〗	横·左右〔一 ⿰〕
渣	isjg			〖※※※〗	
渤	ifpe	ifp		〖※※※〗	
渺	ihit	ihi		〖※※※〗	
湿	ijog	ijo		〖※※※〗	
温	ijlg	ij		〖※※※〗	横·左右〔一 ⿰〕
渴	ijqn	ijq		〖※※※〗	
溃	ikhm	ik		〖※※※〗	
溅	imfy	imf		〖※※※〗	
滑	imeg	ime		〖※※※〗	横·左右〔一 ⿰〕
湃	irdf			〖※※※〗	
渝	iwgj			〖※※※〗	
湾	iyox	iyo		〖※※※〗	
渡	ioac	ioa		〖※※※〗	
游	iytb			〖※※※〗	
滋	iuxx	iux		〖※※※〗	
渲	ipgg			〖※※※〗	
溉	ivcq	ivc		〖※※※〗	
愤	nfam	nfa		〖※※※〗	
慌	nayk	nay		〖※※※〗	
惰	ndae	nda		〖※※※〗	
愕	nkkn			〖※※※〗	
愣	nlyt	nly		〖※※※〗	丿·左右〔丿 ⿰〕
惶	nrgg			〖※※※〗	横·左右〔一 ⿰〕
愧	nrqc	nrq		〖※※※〗	
