unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+740E	琎	0	三级	⿰王进	11	jìn	11211132454	玉(𤣩)	46	0
U+73F8	珸	0	三级	⿰王吾	11	wú	11211251251	玉(𤣩)	0	0
U+73F5	珵	0	三级	⿰王呈	11	chéng	11212511121	玉(𤣩)	41	0
U+7404	琄	0	三级	⿰王肙	11	xuàn	11212512511	玉(𤣩)	0	0
U+7408	琈	0	三级	⿰王孚	11	fú	11213443521	玉(𤣩)	0	0
U+7400	琀	0	三级	⿰王含	11	hán	11213445251	玉(𤣩)	1	0
U+73FA	珺	0	三级	⿰王君	11	jùn	11215113251	玉(𤣩)	861	0
U+63AD	掭	0	三级	⿰扌忝	11	tiàn	12111342444	扌	37	0
U+580E	堎	0	三级	⿰土夌	11	lèng	12112134354	土	0	0
U+5810	堐	0	三级	⿰土厓	11	yá	12113121121	土	6	0
U+57FC	埼	0	三级	⿰土奇	11	qí	12113412512	土	47	0
U+638E	掎	0	三级	⿰扌奇	11	jǐ	12113412512	扌	98	0
U+57EB	埫	0	三级	⿰土尚	11	tǎng chǒng	12124325251	土	5	0
U+580C	堌	0	三级	⿰土固	11	gù	12125122511	土	14	0
U+6662	晢	0	三级	⿱折日	11	zhé	12133122511	日	105	0
U+2BB83	𫮃	0	三级	⿰土单	11	shàn	12143251112		0	0
U+639E	掞	0	三级	⿰扌炎	11	yàn	12143344334	手（扌龵）	22	0
U+57EA	埪	0	三级	⿰土空	11	kōng	12144534121	土	0	0
U+58F8	壸	0	三级	⿳士冖亚	11	kǔn	12145122431	士	74	0
U+364D	㙍	0	三级	⿰土叕	11	duō	12154545454	土	0	0
U+804D	聍	0	三级	⿰耳宁	11	níng	12211144512	耳	30	0
U+83DD	菝	0	三级	⿱艹拔	11	bá	12212113544	艹	15	0
U+841A	萚	0	三级	⿱艹择	11	tuò	12212154112	艸（艹）	1	0
U+83E5	菥	0	三级	⿱艹析	11	xī	12212343312	艹	11	0
U+83BF	莿	0	三级	⿱艹刺	11	cì	12212523422	艹	0	0
U+44EB	䓫	0	三级	⿱艹奇	12	qí	12213412512	艸（艹）	0	0
U+52DA	勚	0	三级	⿰贳力	11	yì	12215253453	力	5	0
U+44EC	䓬	0	三级	⿱艹卓	12	zhuó	12221251112	艸（艹）	0	0
U+8406	萆	0	三级	⿱艹卑	11	bì	12232511312	艹	36	0
U+83C2	菂	0	三级	⿱艹的	11	dì	12232511354	艸（艹）	9	0
U+83CD	菍	0	三级	⿱艹念	11	niè	12234454544	艸（艹）	1	0
U+83FC	菼	0	三级	⿱艹炎	11	tǎn	12243344334	艸（艹）	22	0
U+8423	萣	0	三级	⿱艹定	11	dìng	12244512134	艸（艹）	6	0
U+44E8	䓨	0	三级	⿱𫇦缶	12	yīng	12245311252	艸（艹）	0	0
U+83C9	菉	0	三级	⿱艹录	11	lù	12251124134	艸（艹）	89	0
U+44DB	䓛	0	三级	⿱艹屈	12	qū	12251352252	艸（艹）	0	0
U+68BC	梼	0	三级	⿰木寿	11	táo	12341113124	木	371	0
U+68BD	梽	0	三级	⿰木志	11	zhì	12341214544	木	0	0
U+6872	桲	0	三级	⿰木孛	11	po	12341245521	木	10	0
